"Environment" "Phenotype" "pine_correlation" "spruce_correlation" "pine_slope_bayenv" "pine_score2_bayenv" "pine_score1_bayenv" "spruce_slope_bayenv" "spruce_score2_bayenv" "spruce_score1_bayenv"
"207" "log(MAP)" "ColdInjuryFallS02_Mean" 0.25 0.67 0.300745921901703 0.5783 0.00012705147369974 0.251444226871242 0.5847 0.000133798856390658
"104" "Elevation" "BudSet_day" -0.25 -0.15 0.213026829791517 0.5561 9.16116530796009e-05 0.23218110714083 0.5605 0.000107892918208642
"182" "FFP" "HtFinalS01_mm" 0.24 0.11 0.192011623243089 0.55 7.4370757234603e-05 0.15931302430893 0.5428 6.86548525544773e-05
"161" "EXT" "FinalStemDiamS02_mm" 0.24 0.08 0.223010552098254 0.5611 8.55079254659693e-05 0.130441846974797 0.5347 5.77301426806275e-05
"109" "Elevation" "FinalShootWeightS02_g" -0.24 -0.24 0.263029863648169 0.5601 0.000102901010785422 0.274045219896149 0.5729 0.000124575880164815
"89" "eFFP" "ColdInjuryMidWinterS02_Mean" 0.24 0.15 0.316336277357749 0.5816 0.000138804466694469 0.0748151433228291 0.5274 3.92508142642314e-05
"70" "DD5" "BudSet_day" 0.24 0.33 0.208035500271261 0.5603 8.94676258483837e-05 0.357117353193528 0.6024 0.000165950616795301
"328" "PAS" "ColdInjurySpringS02_Mean" 0.23 0.43 0.21210659453382 0.5563 8.31937227812113e-05 0.0545508795489172 0.5213 2.43024700785903e-05
"324" "PAS" "BudBreakS02_day" -0.23 0.16 0.239008445177374 0.5605 9.12503254067988e-05 -0.0371460140750381 0.492 -1.63417021681655e-05
"317" "NFFD" "Gth95pctS02_Day" 0.23 0.4 0.166214210398759 0.5437 6.40159071854949e-05 0.3870027268226 0.6147 0.000176716244509256
"297" "MWMT" "FinalStemDiamS02_mm" 0.23 -0.01 0.216350102356695 0.5591 8.2954225813675e-05 -0.116566252450461 0.4708 -5.15898786463321e-05
"291" "MWMT" "BudSet_day" 0.23 0.24 0.171661432462788 0.551 7.38254645064933e-05 0.279194539614042 0.5782 0.000129740357746802
"259" "MAT" "ColdInjuryMidWinterS02_Mean" 0.23 0.41 0.340953389346459 0.5781 0.000149606157793174 0.155322069685991 0.5512 8.14885858653856e-05
"159" "EXT" "FinalRootWeightS02_g" 0.23 0.21 NA NA NA NA NA NA
"96" "eFFP" "Gth95pctS02_Day" 0.23 0.39 0.150228960272999 0.5386 5.78585373247553e-05 0.329331134629204 0.5969 0.000150381830324761
"88" "eFFP" "ColdInjuryFallS02_Mean" 0.23 0.28 0.285357628382632 0.5705 0.000120551578614751 0.203294670644045 0.5646 0.000108174066269511
"181" "FFP" "Gth95pctS02_Day" 0.22 0.24 0.16932546981851 0.545 6.5215836958667e-05 0.306454039589261 0.5881 0.000139934847540944
"130" "EMT" "Gth95pctS02_Day" 0.22 0.43 0.140568347247926 0.5349 5.41375421127488e-05 0.367274992416269 0.5964 0.000167709756103306
"110" "Elevation" "FinalStemDiamS02_mm" -0.22 0.07 0.242282453941708 0.5531 9.28977886119825e-05 -0.110466415043685 0.4752 -4.88908419450807e-05
"76" "DD5" "FinalStemDiamS02_mm" 0.22 0.04 0.188638809779073 0.5509 7.2328925283028e-05 0.16168890976057 0.5419 7.15604223579846e-05
"74" "DD5" "FinalRootWeightS02_g" 0.22 0.24 NA NA NA NA NA NA
"18" "bFFP" "BudBreakS02_day" -0.22 0.16 0.291173120666309 0.5723 0.000111165821682725 0.134899169628118 0.5364 5.93547569008167e-05
"16" "AHM" "RootShoot_Ratio" 0.22 0.09 0.199602597960337 0.5525 7.69179178867109e-05 0.182349996577418 0.5434 7.98460439540091e-05
